db_id,playlist_id,name,description,category,video_count,created_at,last_updated,classification_source,human_verified,is_human_validated,competitor_id,competitor_name,country
69,PLLV950EiSCvPHj41ZcyVTdC2Sq1RdA3-8,Room Tours,"Get a sneak peek into a stay with Hilton. With over 20 distinct brands and more than 7,000 properties worldwide, Hilton offers you an exceptional stay — no matter where your travels take you.

Hilton. For The Stay.",hub,99,2025-07-09 18:38:20.434924,2025-07-21 22:07:47,human,True,False,3,Hilton,International
75,PLLV950EiSCvOQrdDKAzH6dTGQ0oWTjTz2,Shorts,,hub,99,2025-07-09 18:38:20.435384,2025-07-21 22:07:47,human,True,False,3,Hilton,International
187,PLdgCSoJzrmKGadxAc1WHfukyzxFII2_-u,Expedia Vacation Travel Guides,Be inspired by all the amazing places in our world. Check out all our Vacation Travel Guides in one place,hub,93,2025-07-09 19:53:43.344155,2025-07-21 22:07:47,human,True,False,1,Expedia,International
25,PL73P7QjiWmZiZbZ03IL31y2PwssL0w_h4,Overig,,hero,90,2025-07-05 17:12:55.884712,2025-07-21 22:07:47,human,True,False,7,Landal,Netherlands
350,PL08aBiIheuyBtKsaRMaNjumYKjEIgt8Ih,Neueste Videos,,help,90,2025-07-12 22:55:24.487433,2025-07-12 22:55:24.487439,human,True,False,20,TUI Deutschland,Germany
53,PL0i3nKXRS-DDwcS0yo_yOXkY6tdEDbzaX,Explore our Resorts,Dive into our resorts and the countries they are located in!,hub,82,2025-07-05 17:34:20.953984,2025-07-21 22:07:47,human,True,False,6,Club Med,France
51,PL0i3nKXRS-DBz_G-FXBuxOMh9twWsq6mQ,Club Med Insider,"We invite you to discover a destination and its resort through the eyes of the chief of village, GOs, GMs, clients.",hub,60,2025-07-05 17:34:20.953917,2025-07-21 22:07:47,human,True,False,6,Club Med,France
189,PLdgCSoJzrmKFzl7LP0TdECxVXyzUWQBui,Expedia At Disney,,hub,45,2025-07-09 19:53:43.344200,2025-07-21 22:07:47,human,True,False,1,Expedia,International
285,PLZkZsSK33kzKJtF28vQcDjeWf1iEXJSvH,Hotels & Resorts in France,,help,43,2025-07-12 22:55:05.369937,2025-07-12 22:55:05.369939,human,True,False,14,Belambra,France
135,PLu_CKZK3SEq8IPokNn2lntm9x9s1G2xer,Discover our Destinations,,hub,42,2025-07-09 19:38:41.987599,2025-07-21 22:07:47,human,True,False,4,Marriott Bonvoy,International
355,PL08aBiIheuyBfCXG-7VOStyWVWmbMX4SW,TUI Reisevideos - Destinationen / Ausflüge / Hotels,,help,41,2025-07-12 22:55:24.487837,2025-07-12 22:55:24.487840,human,True,False,20,TUI Deutschland,Germany
96,PLngX0v3VjNHL4St4kb4UgHtVj0yt57UQQ,Entertainment on demand,,hub,40,2025-07-09 19:22:44.087096,2025-07-21 22:07:47,ai,False,False,11,Roompot,Netherlands
306,PLXwBZNgnDXtWUb8g94XgblWuw96uFdHMD,Les Campings Huttopia en France,"Huttopia Camping est une offre de vacances nature destinée aux familles qui recherchent une atmosphère calme et authentique pour leurs séjours.

Dans les Campings Huttopia, vous êtes certain de séjourner au cœur de la nature : à la montagne, à la mer ou en forêt. Découvrez les plus belles régions de France en profitant d’un coin de nature exceptionnel pour une déconnexion réussie.

La simplicité, la convivialité, le partage et la proximité avec la nature sont les mots d’ordres des Campings Huttopia. Choisissez un hébergement ou un emplacement traditionnel pour planter votre tente ou installer votre camping-car. 

🏕 33 destinations Campings en France à découvrir : 
https://europe.huttopia.com/destinations/campings/

_____________________________________________________


Huttopia Camping is a nature holiday offer for families looking for a calm and authentic atmosphere for their stays.

In the Huttopia Campsites, you are sure to stay in the heart of nature: in the mountains, at the sea or in the forest. Discover the most beautiful regions of France by enjoying an exceptional corner of nature for a successful disconnection.

🏕 Discover 33 Campings destinations in France
https://europe.huttopia.com/en/destinations/campings-nature/",help,40,2025-07-12 22:55:14.174443,2025-07-21 22:07:47,human,True,False,17,Huttopia Campings & Villages,France
